[2026-07-15 20:07:18.000][INF] The COM:HCCoreBase ver is 6.1.4.15, 2020_03_05. Async:1.
[2026-07-15 20:07:18.000][INF] The COM:Core ver is 6.1.11.5, 2025_12_04. Async:1.
[2026-07-15 20:07:18.000][INF] This HCNetSDK ver is 6.1.11.5 Ver 2025_12_04.
[2026-07-15 20:07:18.001][INF] COM_Login dev 192.168.1.64:8000.
[2026-07-15 20:07:18.001][INF] dwTotalNum[2048]
[2026-07-15 20:07:18.002][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x10000 port=36152
[2026-07-15 20:07:18.002][INF] LogonDev1 in[192.168.1.64:8000]
[2026-07-15 20:07:18.004][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[1300] is not QULIFIED(1)
[2026-07-15 20:07:18.052][ERR] PRO_RecvProData_NewMemory pRecv->uiDvrStatus[16777315] is not QULIFIED(1)
[2026-07-15 20:07:21.948][DBG] CComBase::Load, Load szDllPath[/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/libHCPreview.so] SUCC
[2026-07-15 20:07:21.949][INF] AbilityAnalyze---Init-- start
[2026-07-15 20:07:21.954][DBG] AbilityAnalyze---Init-- over, DeviceList path [/home/nvidia/kybot_ws/src/HK/C++demo/consoleDemo/linux64/lib/HCNetSDKCom/LocalXml/DeviceList.xml], load result[0]
[2026-07-15 20:07:21.955][DBG] COM_Preview_GetSDKBuildVersion
[2026-07-15 20:07:21.955][INF] The COM:Preview ver is 6.1.11.5, 2025_12_04.
[2026-07-15 20:11:31.760][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41842
[2026-07-15 20:11:32.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41846
[2026-07-15 20:11:32.976][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41862
[2026-07-15 20:11:33.708][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41864
[2026-07-15 20:11:33.776][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41874
[2026-07-15 20:11:33.843][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41876
[2026-07-15 20:11:33.911][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41878
[2026-07-15 20:11:34.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41884
[2026-07-15 20:11:34.819][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41890
[2026-07-15 20:11:35.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41904
[2026-07-15 20:11:36.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30200 port=41914
[2026-07-15 20:11:36.820][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41920
[2026-07-15 20:11:37.753][INF] Private connect 192.168.1.64:8000 sock=166 this=0xf80f3e94 cmd=0x30009 port=41922
